Algorithm,TotalItems,ItemsValue,ItemsWeight,Quantity,Capacity,Time_ns,Result
greedy,1,401,301,3,101,200,223
greedy,1,401,401,3,101,300,0
greedy,1,401,501,3,101,300,0
greedy,1,401,601,3,101,300,0
greedy,1,501,1,3,101,200,263
greedy,1,501,101,3,101,300,164
greedy,1,501,201,3,101,200,0
greedy,1,501,301,3,101,300,0
greedy,1,501,401,3,101,200,0
greedy,1,501,501,3,101,300,0
greedy,1,501,601,3,101,200,0
greedy,1,601,1,3,101,200,277
greedy,1,601,101,3,101,200,523
greedy,1,601,201,3,101,300,0
greedy,1,601,301,3,101,200,100
greedy,1,601,401,3,101,200,0
greedy,1,601,501,3,101,200,0
greedy,1,601,601,3,101,300,0
greedy,1,1,1,4,101,300,1
greedy,1,1,101,4,101,300,1
greedy,1,1,201,4,101,200,1
greedy,1,1,301,4,101,200,1
greedy,1,1,401,4,101,300,0
greedy,1,1,501,4,101,200,0
greedy,1,1,601,4,101,300,0
greedy,1,101,1,4,101,200,48
greedy,1,101,101,4,101,300,26
greedy,1,101,201,4,101,200,0
greedy,1,101,301,4,101,200,28
greedy,1,101,401,4,101,300,0
greedy,1,101,501,4,101,200,0
greedy,1,101,601,4,101,300,0
greedy,1,201,1,4,101,200,73
greedy,1,201,101,4,101,200,201
greedy,1,201,201,4,101,200,0
greedy,1,201,301,4,101,200,0
greedy,1,201,401,4,101,300,34
greedy,1,201,501,4,101,300,0
greedy,1,201,601,4,101,300,173
greedy,1,301,1,4,101,200,257
greedy,1,301,101,4,101,300,280
greedy,1,301,201,4,101,200,0
greedy,1,301,301,4,101,300,0
greedy,1,301,401,4,101,200,0
greedy,1,301,501,4,101,300,0
greedy,1,301,601,4,101,200,0
greedy,1,401,1,4,101,200,282
greedy,1,401,101,4,101,300,273
greedy,1,401,201,4,101,300,0
greedy,1,401,301,4,101,200,0
greedy,1,401,401,4,101,300,158
greedy,1,401,501,4,101,300,0
greedy,1,401,601,4,101,300,0
greedy,1,501,1,4,101,200,357
greedy,1,501,101,4,101,200,390
greedy,1,501,201,4,101,200,351
greedy,1,501,301,4,101,200,192
greedy,1,501,401,4,101,300,0
greedy,1,501,501,4,101,200,0
greedy,1,501,601,4,101,200,0
greedy,1,601,1,4,101,200,206
greedy,1,601,101,4,101,300,597
greedy,1,601,201,4,101,200,0
greedy,1,601,301,4,101,300,256
greedy,1,601,401,4,101,200,0
greedy,1,601,501,4,101,200,0
